name,lat,lon,投票区名,URL
013-5中野市民センター北側植込,35.68179639,139.31879,第十三,https://www.google.com/maps/dir/?api=1&destination=35.68179639%2C139.31879
013-6工学院大学南側フェンス,35.68267806,139.3176086,第十三,https://www.google.com/maps/dir/?api=1&destination=35.68267806%2C139.3176086
013-7甲の原体育館東側植込,35.68088333,139.3187714,第十三,https://www.google.com/maps/dir/?api=1&destination=35.68088333%2C139.3187714
013-8甲の原北公園北側,35.68167806,139.3208078,第十三,https://www.google.com/maps/dir/?api=1&destination=35.68167806%2C139.3208078
014-1元本郷公園西側,35.66401139,139.3125903,第十四,https://www.google.com/maps/dir/?api=1&destination=35.66401139%2C139.3125903
014-2商工会議所駐車場北フェンス,35.66435778,139.3287983,第十四,https://www.google.com/maps/dir/?api=1&destination=35.66435778%2C139.3287983
014-3東平岡公園北側,35.66457222,139.3263175,第十四,https://www.google.com/maps/dir/?api=1&destination=35.66457222%2C139.3263175
014-4市営住宅元本郷団地４号棟北側,35.66458278,139.3196558,第十四,https://www.google.com/maps/dir/?api=1&destination=35.66458278%2C139.3196558
014-5コンビニ向かい側民家塀,35.66419056,139.31446,第十四,https://www.google.com/maps/dir/?api=1&destination=35.66419056%2C139.31446
014-6市営住宅元本郷団地１号棟北側駐車場前,35.66483889,139.3170042,第十四,https://www.google.com/maps/dir/?api=1&destination=35.66483889%2C139.3170042
014-7八王子市役所来庁者駐車場東側,35.66657139,139.3150689,第十四,https://www.google.com/maps/dir/?api=1&destination=35.66657139%2C139.3150689
015-1緑町霊園北側フェンス,35.64955,139.3244303,第十五,https://www.google.com/maps/dir/?api=1&destination=35.64955%2C139.3244303
015-2第六中学校東側フェンス,35.65297917,139.3307339,第十五,https://www.google.com/maps/dir/?api=1&destination=35.65297917%2C139.3307339
015-3第六中学校西側フェンス,35.65293556,139.3292542,第十五,https://www.google.com/maps/dir/?api=1&destination=35.65293556%2C139.3292542
015-4上野町公園西側フェンス,35.65350472,139.3277931,第十五,https://www.google.com/maps/dir/?api=1&destination=35.65350472%2C139.3277931
015-5八王子実践高校北側フェンス,35.65225111,139.3298603,第十五,https://www.google.com/maps/dir/?api=1&destination=35.65225111%2C139.3298603
015-6八王子実践高校体育館南側フェンス,35.65012333,139.3279097,第十五,https://www.google.com/maps/dir/?api=1&destination=35.65012333%2C139.3279097
015-7緑町もみじ公園東側植込,35.64749583,139.3290972,第十五,https://www.google.com/maps/dir/?api=1&destination=35.64749583%2C139.3290972
030-1都立陵南公園西側植込,35.648175,139.2922536,浅川第一,https://www.google.com/maps/dir/?api=1&destination=35.648175%2C139.2922536
030-2長泉寺東側市道フェンス,35.65300667,139.2894456,浅川第一,https://www.google.com/maps/dir/?api=1&destination=35.65300667%2C139.2894456
030-3長房町消防団機具置場フェンス,35.65170139,139.2860039,浅川第一,https://www.google.com/maps/dir/?api=1&destination=35.65170139%2C139.2860039
030-4原宿町会館前フェンス,35.646355,139.2889253,浅川第一,https://www.google.com/maps/dir/?api=1&destination=35.646355%2C139.2889253
030-5都立陵南公園北側フェンス,35.64989528,139.2895436,浅川第一,https://www.google.com/maps/dir/?api=1&destination=35.64989528%2C139.2895436
030-6原宿町会内三角地花壇歩道側,35.64700611,139.2908908,浅川第一,https://www.google.com/maps/dir/?api=1&destination=35.64700611%2C139.2908908
030-7都立陵南公園北側,35.64882806,139.2924164,浅川第一,https://www.google.com/maps/dir/?api=1&destination=35.64882806%2C139.2924164
031-1旧浅川支所東側フェンス,35.64273806,139.2750214,浅川第二,https://www.google.com/maps/dir/?api=1&destination=35.64273806%2C139.2750214
031-2高尾駅北口臨時駐輪場フェンス,35.64232806,139.2801861,浅川第二,https://www.google.com/maps/dir/?api=1&destination=35.64232806%2C139.2801861
031-3西浅川児童遊園,35.63979806,139.2720839,浅川第二,https://www.google.com/maps/dir/?api=1&destination=35.63979806%2C139.2720839
031-4浅川事務所西側フェンス,35.64309611,139.2767839,浅川第二,https://www.google.com/maps/dir/?api=1&destination=35.64309611%2C139.2767839
031-5御嶽神社横,35.643615,139.2800264,浅川第二,https://www.google.com/maps/dir/?api=1&destination=35.643615%2C139.2800264
031-6廿里町公会堂向かい,35.64550167,139.2822964,浅川第二,https://www.google.com/maps/dir/?api=1&destination=35.64550167%2C139.2822964
032-1消防団第１１分団第１１部器具置場東側畑,35.62877472,139.2688583,浅川第三,https://www.google.com/maps/dir/?api=1&destination=35.62877472%2C139.2688583
